BoardID     ChannelID     Gain      Offset
178     0     3.88792      22.3934
178     1     3.68843      32.9688
178     2     3.91142      21.1671
178     3     3.71235      39.6597
178     4     3.95479      22.2954
178     5     3.71791      14.2076
178     6     3.85926      18.4497
178     7     3.67582      31.8036
178     8     3.956      31.893
178     9     3.68697      39.5819
178     10     3.90216      24.1902
178     11     3.71215      26.4878
178     12     3.85585      27.7479
178     13     3.6416      34.2429
178     14     3.92147      38.8735
178     15     3.71795      27.4504
176     0     3.91833      26.0771
176     1     3.70165      57.3538
176     2     3.89906      22.069
176     3     3.72442      1.93198
176     4     3.9123      41.0602
176     5     3.65425      25.4501
176     6     3.93211      12.2771
176     7     3.72811      31.2535
176     8     3.98847      41.1459
176     9     3.75732      43.9428
176     10     3.92948      18.6678
176     11     3.72531      35.5968
176     12     3.97377      30.6251
176     13     3.7477      39.6793
176     14     3.94713      23.362
176     15     3.75005      24.2986
164     0     3.94006      25.6804
164     1     3.71985      42.8104
164     2     3.88501      40.1304
164     3     3.66022      39.6964
164     4     3.92206      19.6846
164     5     3.69843      36.9881
164     6     3.89958      27.2916
164     7     3.69302      51.4066
164     8     3.91416      25.2352
164     9     3.68183      32.092
164     10     3.9076      25.1315
164     11     3.68874      53.8103
164     12     3.95497      24.9384
164     13     3.74223      43.3843
164     14     3.95321      36.1668
164     15     3.70978      61.7291
192     0     3.91518      -0.391545
192     1     3.68378      34.5596
192     2     3.91556      39.8386
192     3     3.69819      55.7531
192     4     3.93726      35.4857
192     5     3.7116      54.6157
192     6     4.89573      26.3738
192     7     3.66566      52.1431
192     8     3.95624      19.2882
192     9     3.67035      63.8453
192     10     3.90675      19.8907
192     11     3.70692      26.9767
192     12     3.91473      32.244
192     13     3.71229      14.2082
192     14     3.94917      14.9613
192     15     3.70306      42.1531
